Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 18:37:52.511,0.016104,0.00976,1.01992,1.19,0.28,0.455,0.0945,-0.1395,-0.12
06-26-2025 18:37:52.551,-0.0122,0.007808,1.037976,1.05,-1.015,-0.63,0.1035,-0.138,-0.1245
06-26-2025 18:37:52.591,-0.034892,0.048556,0.998692,-2.17,-0.91,1.82,0.096,-0.1305,-0.123
06-26-2025 18:37:52.631,0.068076,-0.023424,0.9638,-2.415,-0.35,-0.105,0.099,-0.132,-0.132
06-26-2025 18:37:52.671,0.001708,-0.075396,0.93696,0.105,-0.315,-1.225,0.1005,-0.126,-0.12
06-26-2025 18:37:52.711,0.017324,-0.005368,1.009428,2.8,1.75,-1.085,0.0975,-0.1305,-0.114
06-26-2025 18:37:52.751,0.005124,0.057828,1.032608,2.31,0.035,-1.085,0.102,-0.1275,-0.114
06-26-2025 18:37:52.791,-0.024888,0.004636,0.987956,0.875,-0.035,0.175,0.108,-0.132,-0.1275
06-26-2025 18:37:52.831,0.002196,0.036112,1.032608,-3.15,0.315,2.31,0.0975,-0.129,-0.117
06-26-2025 18:37:52.871,-0.049776,-0.056608,0.980392,-1.26,-0.84,0.28,0.0915,-0.129,-0.117
06-26-2025 18:37:52.911,0.006344,-0.012688,0.944036,0.49,1.505,0.14,0.1035,-0.132,-0.114
06-26-2025 18:37:52.951,0.041968,0.015616,1.11752,3.745,0.105,-1.785,0.108,-0.135,-0.1155
06-26-2025 18:37:52.991,-0.140544,0.084424,0.927688,0.7,-1.785,0.63,0.105,-0.1335,-0.12
06-26-2025 18:37:53.031,-0.003904,0.044896,1.047248,-2.8,0.56,0.595,0.1035,-0.1425,-0.1245
06-26-2025 18:37:53.071,0.08686399,-0.045384,1.026752,-1.68,-0.35,-2.52,0.0915,-0.1335,-0.1245
06-26-2025 18:37:53.111,-0.01098,-0.02806,0.937448,1.33,-0.595,1.645,0.0915,-0.129,-0.1215
06-26-2025 18:37:53.151,0.034404,-0.012932,1.029436,1.925,0.385,0.525,0.0945,-0.135,-0.123
06-26-2025 18:37:53.191,0.022448,0.045628,1.019432,-1.82,0.035,-1.365,0.1065,-0.1335,-0.1245
06-26-2025 18:37:53.231,0.045628,-0.059536,0.96136,-0.21,1.155,0.49,0.0975,-0.1335,-0.123
06-26-2025 18:37:53.271,0.023424,0.018788,1.00894,-0.385,0.07,2.065,0.1005,-0.1335,-0.1275
06-26-2025 18:37:53.311,-0.036844,-0.019276,1.011624,0.49,-1.365,-0.42,0.099,-0.132,-0.1215
06-26-2025 18:37:53.351,0.071004,-0.00854,1.037244,-0.735,1.645,1.4,0.0945,-0.132,-0.1215
06-26-2025 18:37:53.391,0.07905599,-0.0305,0.93208,1.225,1.75,-1.365,0.102,-0.1425,-0.117
06-26-2025 18:37:53.431,-0.081496,0.183488,1.070428,0.315,-0.595,-0.525,0.105,-0.1305,-0.1245
06-26-2025 18:37:53.471,-0.055876,0.045628,1.098732,0.525,-1.12,1.785,0.096,-0.135,-0.132
06-26-2025 18:37:53.511,0.091012,-0.063196,0.916952,-1.89,0.595,0.28,0.0975,-0.1305,-0.117
06-26-2025 18:37:53.551,-0.013664,-0.043188,1.06994,-0.84,-0.07,-1.47,0.1035,-0.1365,-0.12
