Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 18:32:31.323,-0.001708,0.020008,0.998204,0.175,0.105,0.035,0.105,-0.2115,-0.171
06-26-2025 18:32:31.363,-0.00122,0.023668,1.0004,0.21,0.035,-0.035,0.105,-0.2115,-0.1635
06-26-2025 18:32:31.403,-0.003416,0.020008,0.998936,0.245,0.07,-0.07,0.1005,-0.2085,-0.168
06-26-2025 18:32:31.443,-0.005612,0.020008,0.998692,0.28,0.105,-0.07,0.1005,-0.2085,-0.1725
06-26-2025 18:32:31.483,-0.00366,0.025376,1.000644,0.315,0.07,-0.035,0.105,-0.2085,-0.174
06-26-2025 18:32:31.523,-0.000244,0.021716,0.996984,0.315,0.07,0,0.09,-0.207,-0.1695
06-26-2025 18:32:31.563,-0.00366,0.024156,0.999424,0.455,0.07,-0.035,0.1005,-0.213,-0.177
06-26-2025 18:32:31.603,-0.001708,0.021716,0.998692,0.525,0.07,0,0.0975,-0.204,-0.165
06-26-2025 18:32:31.643,-0.001708,0.019764,0.999424,0.665,0.105,-0.105,0.1035,-0.2085,-0.1665
06-26-2025 18:32:31.683,-0.002196,0.017324,0.996496,0.805,0.175,-0.14,0.1005,-0.213,-0.1635
06-26-2025 18:32:31.723,-0.002684,0.0183,0.996496,0.98,0.14,-0.175,0.102,-0.216,-0.159
06-26-2025 18:32:31.763,-0.004636,0.019764,0.99918,1.12,0.21,-0.245,0.099,-0.207,-0.1635
06-26-2025 18:32:31.803,-0.005368,0.020252,0.999912,1.225,0.175,-0.245,0.102,-0.21,-0.1635
06-26-2025 18:32:31.843,-0.00488,0.018788,0.996496,1.33,0.175,-0.21,0.093,-0.2055,-0.168
06-26-2025 18:32:31.883,-0.004392,0.019032,0.998204,1.33,0.21,-0.175,0.0915,-0.2055,-0.162
06-26-2025 18:32:31.923,-0.006832,0.0244,0.999424,1.47,0.245,-0.21,0.1005,-0.2115,-0.162
06-26-2025 18:32:31.963,-0.0061,0.023424,0.994788,1.47,0.245,-0.315,0.1005,-0.2115,-0.162
06-26-2025 18:32:32.003,-0.002928,0.023424,0.995764,1.54,0.21,-0.21,0.0915,-0.21,-0.159
06-26-2025 18:32:32.043,-0.009272,0.025132,0.99796,1.575,0.28,-0.175,0.0915,-0.2235,-0.171
06-26-2025 18:32:32.083,-0.0061,0.025376,0.99552,1.575,0.245,-0.14,0.0975,-0.216,-0.1725
06-26-2025 18:32:32.123,-0.00366,0.026596,1.002596,1.61,0.28,-0.21,0.102,-0.219,-0.1605
06-26-2025 18:32:32.163,-0.002684,0.023912,1.000156,1.61,0.28,-0.245,0.0915,-0.2115,-0.159
06-26-2025 18:32:32.203,-0.004148,0.030256,0.99918,1.575,0.28,-0.14,0.093,-0.2085,-0.1635
06-26-2025 18:32:32.243,-0.002684,0.03294,0.994788,1.54,0.245,-0.14,0.093,-0.2115,-0.168
06-26-2025 18:32:32.283,-0.000488,0.035624,0.99552,1.54,0.245,-0.175,0.105,-0.219,-0.162
06-26-2025 18:32:32.323,-0.000976,0.03538,0.99796,1.4,0.245,-0.175,0.096,-0.219,-0.153
06-26-2025 18:32:32.363,0.000488,0.03782,0.994056,1.295,0.245,-0.105,0.099,-0.2145,-0.1605
