Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 19:33:42.513,0.001464,-0.038308,1.005036,0.525,0.105,-0.14,0.3,0.147,-0.141
06-26-2025 19:33:42.553,0.004148,-0.039284,0.998936,0.665,0.105,-0.105,0.3105,0.1545,-0.1395
06-26-2025 19:33:42.593,0.00122,-0.037088,1.003572,0.595,0.105,-0.105,0.3135,0.1605,-0.1455
06-26-2025 19:33:42.633,0.002684,-0.043188,1.005768,0.77,0.14,-0.14,0.3015,0.15,-0.1455
06-26-2025 19:33:42.673,0.004148,-0.03416,1.003328,0.805,0.105,-0.175,0.309,0.1455,-0.132
06-26-2025 19:33:42.713,0.00488,-0.035624,0.999424,0.84,0.14,-0.245,0.3045,0.153,-0.138
06-26-2025 19:33:42.753,0.004148,-0.04148,1.001132,0.77,0.105,-0.14,0.306,0.1485,-0.1395
06-26-2025 19:33:42.793,-0.00122,-0.034892,1.0004,0.525,0.105,0.315,0.303,0.15,-0.1395
06-26-2025 19:33:42.833,0.002684,-0.03416,1.001864,0.665,0.175,-0.035,0.309,0.1515,-0.144
06-26-2025 19:33:42.873,0.002684,-0.022936,1.004304,0.385,0.105,-0.385,0.3075,0.1545,-0.1425
06-26-2025 19:33:42.913,0.005124,-0.030988,1.006988,0.14,0.07,0.07,0.303,0.15,-0.1365
06-26-2025 19:33:42.953,-0.000488,-0.018788,1.00284,-0.42,0,0.56,0.3075,0.1425,-0.1365
06-26-2025 19:33:42.993,0.002684,-0.033428,1.001376,-0.42,0,-0.105,0.309,0.1485,-0.1425
06-26-2025 19:33:43.033,-0.00366,-0.044652,1.00528,-0.385,0,-0.21,0.318,0.1545,-0.129
06-26-2025 19:33:43.073,-0.002928,-0.037332,1.002352,-0.49,0,0.35,0.309,0.153,-0.1395
06-26-2025 19:33:43.113,-0.004392,-0.0427,1.0065,-0.035,0,-0.14,0.3,0.153,-0.1425
06-26-2025 19:33:43.153,-0.005124,-0.045384,1.002596,0.175,0.035,-0.595,0.309,0.15,-0.147
06-26-2025 19:33:43.193,-0.00122,-0.051484,1.00406,0.665,0.105,-0.105,0.2985,0.153,-0.141
06-26-2025 19:33:43.233,-0.000976,-0.039284,1.006988,0.875,0.105,0,0.312,0.156,-0.1425
06-26-2025 19:33:43.273,-0.000488,-0.044164,1.003816,1.26,0.175,-0.525,0.3045,0.1485,-0.1425
06-26-2025 19:33:43.313,0.000732,-0.040748,1.001376,1.435,0.21,-0.175,0.3045,0.1485,-0.1425
06-26-2025 19:33:43.353,0.006832,-0.032452,1.000644,1.435,0.21,0,0.306,0.15,-0.138
06-26-2025 19:33:43.393,0.001952,-0.030256,0.999668,1.47,0.175,-0.35,0.3075,0.1485,-0.135
06-26-2025 19:33:43.433,0.000732,-0.028304,1.004548,1.54,0.245,-0.35,0.309,0.1455,-0.138
06-26-2025 19:33:43.473,0.003172,-0.034404,1.00162,1.505,0.175,-0.315,0.3015,0.144,-0.1305
06-26-2025 19:33:43.513,0.00488,-0.03416,0.993812,1.47,0.21,-0.49,0.3015,0.147,-0.1335
06-26-2025 19:33:43.553,-0.000244,-0.030012,1.010892,1.365,0.21,-0.105,0.303,0.147,-0.144
