Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 19:30:15.387,0.031964,-0.098088,0.981368,8.225,0.665,17.57,0.195,0.273,-0.1875
06-26-2025 19:30:15.427,0.030744,-0.07198,1.063596,6.615,1.645,20.615,0.1875,0.2805,-0.189
06-26-2025 19:30:15.467,0.020008,-0.05002,0.97722,2.17,1.33,24.08,0.189,0.288,-0.1875
06-26-2025 19:30:15.507,0.044896,-0.083204,0.935984,2.94,1.4,24.71,0.1935,0.285,-0.192
06-26-2025 19:30:15.547,0.02196,-0.077836,1.06994,-0.91,0.105,30.03,0.198,0.2895,-0.1875
06-26-2025 19:30:15.587,-0.009028,-0.049776,0.982832,-4.095,2.24,32.865,0.198,0.297,-0.189
06-26-2025 19:30:15.627,-0.052216,0.044652,0.891332,-7.07,1.12,32.27,0.2055,0.3135,-0.1815
06-26-2025 19:30:15.667,-0.027328,-0.08686399,1.086532,-5.985,0.735,26.95,0.2085,0.312,-0.183
06-26-2025 19:30:15.707,0.006344,-0.037088,1.069452,-9.73,1.26,24.92,0.21,0.3285,-0.1755
06-26-2025 19:30:15.747,0.03904,0.062708,0.955016,-9.59,-0.525,24.22,0.216,0.3255,-0.165
06-26-2025 19:30:15.787,0.025132,-0.001708,1.009672,-10.08,0.42,15.47,0.2025,0.3405,-0.168
06-26-2025 19:30:15.827,0.019032,0.0183,1.010404,-12.53,-0.91,7.385,0.204,0.348,-0.168
06-26-2025 19:30:15.867,-0.04514,0.04148,0.980392,-9.1,-0.595,4.375,0.198,0.351,-0.165
06-26-2025 19:30:15.907,0.02806,-0.08052,0.940132,-5.355,-2.275,0.385,0.1815,0.354,-0.159
06-26-2025 19:30:15.947,0.035136,0.065636,1.026264,-6.825,-0.875,-6.44,0.1755,0.36,-0.1485
06-26-2025 19:30:15.987,0.045628,0.061,0.936228,-5.075,-0.42,-15.33,0.1605,0.348,-0.144
06-26-2025 19:30:16.027,0.00732,-0.067588,0.99918,-5.005,-0.63,-20.965,0.1605,0.348,-0.144
06-26-2025 19:30:16.067,0.030256,-0.08906,0.976976,-2.52,-0.875,-19.18,0.1305,0.3405,-0.1365
06-26-2025 19:30:16.107,0.043432,-0.103944,1.022848,1.05,-1.155,-18.585,0.1185,0.3345,-0.138
06-26-2025 19:30:16.147,0.016104,-0.071492,0.97356,-0.245,-0.7,-16.625,0.123,0.324,-0.1305
06-26-2025 19:30:16.187,-0.014152,-0.07686,0.976488,-0.21,0,-13.79,0.108,0.318,-0.1365
06-26-2025 19:30:16.227,-0.022448,-0.017568,1.030168,-0.56,0.28,-11.48,0.114,0.321,-0.135
06-26-2025 19:30:16.267,0.01952,0.044164,1.155096,-1.435,-0.63,-11.62,0.114,0.321,-0.135
06-26-2025 19:30:16.307,0.087352,0.006588,0.84912,-1.855,1.715,-13.86,0.1185,0.3075,-0.1485
06-26-2025 19:30:16.347,-0.077104,0.046604,1.067744,-2.275,0.7,-19.985,0.1185,0.2985,-0.1485
06-26-2025 19:30:16.387,0.092476,-0.072712,0.896944,-1.68,-1.26,-23.45,0.1155,0.2925,-0.15
06-26-2025 19:30:16.427,0.168848,-0.147376,1.180228,1.435,7.07,-19.67,0.12,0.2805,-0.15
